Bigram-2 Words
meme gif
gif vote
vote voice
voice created
created map
map tracking
tracking probable
probable war
war crime
crime war
war researcher
researcher promise
promise update
update map
map end
end conflict
conflict zionist
zionist systematic
systematic erasure
erasure palestinians
palestinians us
us institutionalised
institutionalised racism
racism target
target palestinians
palestinians empower
empower doesnt
doesnt exist
exist vacuum
vacuum military
military economic
economic diplomatic
diplomatic collaboration
collaboration must
must disabled
disabled russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head theproject
theproject institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better eye
eye focused
focused intl
intl community
community must
must also
also remember
remember ppl
ppl killed
killed profit
profit victim
victim genocide
genocide anonymous
anonymous replace
replace barcodes
barcodes product
product invalid
invalid pricing
pricing zero
zero 
 money
money bridge
bridge ukraine-romanian
ukraine-romanian border
border filled
filled toy
toy left
left citizen
citizen evacuating
evacuating child
child crossing
crossing take
take toy
toy humanity
humanity shine
shine brightly
brightly even
even darkest
darkest hour
hour contrast
contrast view
view former
former lithuanian
lithuanian mp
mp belgium
belgium germany
germany france
france others
others frontline
frontline state
state know
know could
could come
come next
next every
every civilian
civilian participant
participant war
war may
may take
take militarily
militarily theyre
theyre going
going take
take heart
heart people
people explains
explains russian
russian roadblock
roadblock attacked
attacked ukrainian
ukrainian force
force result
result p
p shturm-s
shturm-s atgm
atgm carrier
carrier mt-lb
mt-lb multi-purpose
multi-purpose tracked
tracked vehicle
vehicle damaged
damaged destroyed
destroyed ukrainian
ukrainian troop
troop luhansk
luhansk region
region managed
managed intercept
intercept tochka-u
tochka-u missile
missile fim
fim stingerthis
stingerthis confirmed
confirmed every
every day
day pass
pass civilian
civilian killed
killed every
every business
business relationship
relationship russia
russia mean
mean money
money finance
finance genocidestop
genocidestop mural
mural show
show brave
brave little
little girl
girl hiding
hiding fairy
fairy tale
tale character
character different
different country
country flag
flag today
today ukraine
ukraine truly
truly decides
decides future
future diozpl
diozpl issued
issued appeal
appeal help
help animal
animal rescue
rescue convoy
convoy delayed
delayed border
border custom
custom district
district vet
vet tomasz
tomasz dzimira
dzimira resulting
resulting unnecessary
unnecessary suffering
suffering animal
animal government
government must
must step
step dayit's
dayit's saturday
saturday good
good family
family walk
walk like
like normal
normal life
life several
several siren
siren new
new normal
normal st
st aid
aid trainingyou
trainingyou see
see year
year old
old son
son immobilizing
immobilizing neck
neck quite
quite good
good know
know min
min injured
injured person
person bleeds
bleeds zelensky
zelensky international
international symbol
symbol fight
fight freedom
freedom ambition
ambition redraw
redraw europes
europes security
security architecture
architecture doesnt
doesnt wont
wont stop
stop seek
seek keep
keep outside
outside umbrella
umbrella european
european country
country including
including united
united responds
responds stop
stop hegemony
hegemony russia
russia still
still wrestling
wrestling capture
capture kyiv
kyiv meanwhile
meanwhile support
support shit
shit happens
happens disconnect
disconnect internet
internet via
via invasion
invasion overshadowed
overshadowed atrocity
atrocity man-made
man-made famine
famine fallen
fallen victim
victim ic
ic must
must speak
speak stand
stand victim
victim war
war anywhere
anywhere world
world continues
continues focus
focus million
million silently
silently suffering
suffering ic
ic must
must recognise
recognise hold
hold account
account bring
bring end
end suffering
suffering ukraine
ukraine alive
alive resisting
resisting armed
armed forces
forces recaptured
recaptured settlement
settlement near
near kyiv
kyiv area
area managed
managed repel
repel russian
russian force
force km
km capital
capital summer
summer sunflowers
sunflowers artistic
artistic style
style chernihiv
chernihiv russian
russian troop
troop fired
fired people
people standing
standing line
line bread
bread bad
bad person
person ministry
ministry defense
defense showed
showed video
video rather
rather left
left putin
putin invaded
invaded us
us belarus
belarus know
know prolong
prolong entry
entry ukrainian
ukrainian life
life sacrificed
sacrificed sake
sake alliance
alliance hitler
hitler conquered
conquered two
two country
country invading
invading world
world watched
watched eu
eu stepped
stepped sooner
sooner state
state security
security service
service kidnapped
kidnapped home
home journalist
journalist physicist
physicist progressive
progressive yuri
yuri neutral
neutral observer
observer war
war whose
whose sole
sole fault
fault cheerlead
cheerlead regime
regime loved
loved ukraine
ukraine may
may well
well villain
villain behind
behind vision
vision planted
planted brain
brain pres
pres putin
putin masturbating
masturbating russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head theproject
theproject institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko longer
longer thread
thread alarming
alarming situation
situation occupied
occupied southeast
southeast development
development fluid
fluid alarming
alarming inspiringwhat
inspiringwhat seeing
seeing attempt
attempt set
set stalin-like
stalin-like police
police state
state dressed
dressed people's
people's republics
republics worst
worst yet
yet come
come evidence
evidence show
show russian
russian military
military bombing
bombing hospital
hospital invasion
invasion sovereign
sovereign nation
nation okay
okay sign
sign petition
petition basically
basically nowadays
nowadays barbaric
barbaric horde
horde likened
likened whats
whats happening
happening thats
thats grossly
grossly insulting
insulting ukrainians
ukrainians whove
whove unlawfully
unlawfully invaded
invaded literally
literally fighting
fighting life
life freedom
freedom join
join guy
guy rock
rock bringing
bringing joy
joy happiness
happiness kid
kid coming
coming well
well done
done week
week dppa
dppa security
security council
council discus
discus approves
approves robust
robust new
new mandate
mandate first
first women's
women's forum
forum peace
peace security
security viot
viot moment
moment importance
importance fsb
fsb report
report mine
mine step
step along
along shore
shore expecting
expecting paratrooper
paratrooper landing
landing washed
washed storm
storm heading
heading towards
towards also
also known
known strait
strait istanbul
istanbul mural
mural show
show brave
brave little
little girl
girl hiding
hiding fairy
fairy tale
tale character
character different
different country
country flag
flag today
today ukraine
ukraine truly
truly decides
decides future
future eye
eye focused
focused intl
intl community
community must
must also
also remember
remember ppl
ppl killed
killed come
come gathering
gathering tomorrow
tomorrow hear
hear help
help people
people moving
moving sunflowers
sunflowers national
national flower
flower ukraine
ukraine guildford
guildford member
member painted
painted huge
huge sunflower
sunflower style
style emile
emile nolde
nolde show
show solidarity
solidarity people
people ukraine
ukraine russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato every
every day
day pass
pass civilian
civilian killed
killed every
every business
business relationship
relationship russia
russia mean
mean money
money finance
finance genocidestop
genocidestop world
world watch
watch russias
russias illegal
illegal invasion
invasion nuclear
nuclear issue
issue risk
risk escalation
escalation abuzz
abuzz news
news social
social mediawhat
mediawhat fact
fact what's
what's fiction
fiction expert
expert answer
answer faqs
faqs nuclear
nuclear implication
implication crisis
crisis family
family rescued
rescued hour
hour emergency
emergency rescue
rescue support
support team
team contact
contact email
email ukrainerescuecomphone
ukrainerescuecomphone call
call text
text warns
warns support
support reach
reach town
town kherson
kherson lack
lack food
food communication
communication city
city light
light water
water heating
heating provoke
provoke terrible
terrible humanitarian
humanitarian disaster
disaster whitehall
whitehall rally
rally support
support aggression
aggression people
people poland
poland shown
shown amazing
amazing humanity
humanity welcoming
welcoming million
million people
people last
last night
night proud
proud hear
hear ambassador
ambassador irish
irish community
community warsaw
warsaw effort
effort including
including opening
opening home
home russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event youre
youre wrong
wrong weve
weve learnt
learnt thing
thing trivial
trivial lie
lie politics
politics etc
etc matter
matter reflect
reflect leader
leader ability
ability lead
lead would
would partied
partied lockdown
lockdown think
think sure
sure would
would yes
yes believe
believe many
many prisoner
prisoner war
war full-fledged
full-fledged camp
camp set
set first
first already
already begun
begun workprosecutor
workprosecutor general
general irina
irina venediktova
venediktova noted
noted camp
camp work
work within
within framework
framework international
international humanitarian
humanitarian law
law prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event general
general andrey
andrey mordvichev
mordvichev dead
dead burn
burn hell
hell mf
mf prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event hiding
hiding biolabs
biolabs today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod russia
russia ukraine
ukraine live
live updates
updates world
world talk
talk saudi's
saudi's invasion
invasion yemen
yemen act
act russian
russian invasion
invasion ukraine
ukraine apart
apart money
money aid
aid need
need major
major foreign
foreign mercenary
mercenary help
help defend
defend homeland
homeland push
push back
back hiding
hiding biolabs
biolabs russia
russia still
still wrestling
wrestling capture
capture kyiv
kyiv finally
finally america
america president
president everybody
everybody love
love sky-high
sky-high approval
approval rating
rating president
president still
still map
map update
update according
according ukrainian
ukrainian mod
mod russian
russian force
force south
south east
east northeast
northeast city
city making
making position
position trench
trench regroups
regroups deploys
deploys reserve
reserve prepare
prepare offensive
offensive operation
operation used
used combat
combat st
st time
time destroy
destroy depot
depot west
west large
large underground
underground warehouse
warehouse containing
containing aviation
aviation ammunition
ammunition destroyed
destroyed village
village mile
mile west
west elliptic
elliptic flags
flags wallets
wallets containing
containing millions
millions dollars
dollars sanctioned
sanctioned russians
russians total
total said
said least
least million
million crypto
crypto address
address linked
linked russian
russian criminal
criminal activity
activity likened
likened whats
whats happening
happening thats
thats grossly
grossly insulting
insulting ukrainians
ukrainians whove
whove unlawfully
unlawfully invaded
invaded literally
literally fighting
fighting life
life freedom
freedom join
join concept
concept art
art link
link year
year soviet
soviet war
war afghanistan
afghanistan ussr
ussr lost
lost fighter
fighter jet
jet day
day war
war russia
russia loses
loses fighter
fighter jet
jet ukrainian
ukrainian air
air force
force got
got skill
skill prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event every
every civilian
civilian participant
participant war
war may
may take
take militarily
militarily theyre
theyre going
going take
take heart
heart people
people explains
explains plans
plans everything
everything work
work way
way rule
rule world
world given
given birth
birth child
child year
year like
like travel
travel make
make love
love drink
drink war
war benefited
benefited lineage
lineage die
die lot
lot work
work like
like putin's
putin's speech
speech unity
unity greatness
greatness russian
russian people
people colorfully
colorfully reflected
reflected photograph
photograph office
office metro
metro threatened
threatened ukraine
ukraine blockade
blockade supply
supply due
due pressure
pressure leave
leave russia
russia say
say former
former cabinet
cabinet minister
minister dmytro
dmytro dubiletmetro
dubiletmetro belief
belief sale
sale effect
effect war
war playlist
playlist recommended
recommended milestones
milestones modis
modis chrisha
chrisha uplifting
uplifting positive
positive music
music today
today balance
balance power
power flux
flux develops
develops strategic
strategic partnership
partnership future
future west-led
west-led global
global order
order defined
defined effectively
effectively responds
responds crisis
crisis harsh
harsh v
v pant
pant writes
writes donetsk
donetsk people's
people's republic
republic ministry
ministry coal
coal energy
energy confirmed
confirmed mine
mine worker
worker trapped
trapped underground
underground chelyuskintsev
chelyuskintsev skochinsky
skochinsky coal
coal mine
mine republic
republic result
result ukrainian
ukrainian shelling
shelling whether
whether icj
icj order
order effectively
effectively implemented
implemented one
one discount
discount fact
fact ukraine
ukraine certainly
certainly got
got upper
upper hand
hand ongoing
ongoing negotiation
negotiation party
party concerned
concerned catch
catch modis
modis chrisha
chrisha shazam
shazam next
next monday
monday join
join roundtable
roundtable discussion
discussion russia's
russia's invasion
invasion featuring
featuring march
march pm
pm mt
mt collective
collective sent
sent anti-war
anti-war text
text russian
russian cell
cell phone
phone user
user tell
tell truth
truth putin's
putin's invasion
invasion russians
russians oppose
oppose war
war flee
flee abroad
abroad via
via army
army gen
gen paul
paul nakasone
nakasone head
head said
said never
never seen
seen better
better sharing
sharing accurate
accurate timely
timely actionable
actionable transpired
transpired playlist
playlist recommended
recommended simplicity
simplicity modis
modis chrisha
chrisha uplifting
uplifting positive
positive music
music case
case already
already mentioned
mentioned twice
twice johnson
johnson remain
remain silent
silent putin
putin attack
attack georgia
georgia baltic
baltic state
state via
via people
people amazing
amazing inspired
inspired love
love country
country soul
soul grit
grit determination
determination nightmare
nightmare would
would love
love visit
visit work
work along
along side
side point
point modis
modis chrisha
chrisha shazam
shazam original
original profession
profession fine
fine art
art decided
decided seven
seven picture
picture done
done today
today official
official color
color use
use free
free globally
globally leave
leave text
text please
please economist
economist john
john kavulich
kavulich discus
discus conflict
conflict ongoing
ongoing event
event countryfor
countryfor house
house fly
fly flag
flag get
get rf
rf back
back side
side border
border ppl
ppl live
live fascist
fascist regime
regime closed
closed rest
rest world
world miserable
miserable bubble
bubble long
long gone
gone free
free rebuild
rebuild nurture
nurture democracy
democracy world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished thank
thank poland
poland taking
taking care
care ukrainian
ukrainian fur
fur baby
baby redeemed
redeemed humanity
humanity today
today slava
slava ukraine
ukraine unit
unit searched
searched large
large ammunition
ammunition depot
depot force
force left
left without
without fight
fight city
city region
region 
 million
million thats
thats number
number child
child fled
fled refugee
refugee since
since february
february countless
countless others
others displaced
displaced violence
violence inside
inside country
country call
call strengthened
strengthened measure
measure protect
protect sound
sound intriguing
intriguing sure
sure many
many people
people trying
trying increase
increase understanding
understanding ukrainian
ukrainian history
history raising
raising money
money thru
thru much
much better
better idea
idea driving
driving truck
truck breaking
breaking uranium
uranium pm
pm meeting
meeting nuclear
nuclear industry
industry monday
monday discus
discus quickly
quickly plan
plan build
build new
new capacity
capacity roll
roll uranium
uranium decade
decade nothing
nothing happens
happens week
week decade
decade happen
happen latest
latest russia
russia conflict
conflict russia
russia say
say closer
closer agreement
agreement ukraine
ukraine claim
claim unchanged
unchanged putin
putin macron
macron discus
discus situation
situation ukraine
ukraine phone
phone putin
putin scholz
scholz hold
hold phone
phone talk
talk ukraine
ukraine situation
situation people
people want
want donate
donate ukraines
ukraines government
government legalized
legalized think
think major
major step
step crypto
crypto industry
industry thought
thought would
would easy
easy invasion
invasion account
account strength
strength plan
plan defend
defend innocent
innocent biggest
biggest mistake
mistake overestimated
overestimated position
position putin
putin lose
lose fully
fully supporting
supporting today
today lets
lets sell
sell virtual
virtual stadium
stadium charity
charity pat
pat i'd
i'd like
like solve
solve see
see soldier
soldier defend
defend another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better putin
putin redrawn
redrawn world
world way
way wanted
wanted new
new footage
footage released
released mod
mod show
show ka
ka aligator
aligator attack-helicopter
attack-helicopter action
action seen
seen footage
footage also
also armed
armed igla-v
igla-v air-to-air
air-to-air missile
missile use
use drone
drone helicopter
helicopter stop
stop twerking
twerking save
save instead
instead hearting
hearting stop
stop help
help saving
saving pipeline
pipeline turk
turk akim
akim billion
billion year
year europe
europe turkeypipeline
turkeypipeline mavi
mavi akim
akim billion
billion year
year europe
europe turkeyturkey
turkeyturkey sell
sell drone
drone ukraineturkey
ukraineturkey buy
buy russian
russian good
good claim
claim nato
nato cancer
cancer moscowturkey
moscowturkey nato
nato member
member asking
asking donate
donate general
general supply
supply many
many collection
collection uk
uk might
might also
also need
need volunteer
volunteer published
published list
list collection
collection point
point check
check need
need specific
specific item
item russians
russians come
come support
support special
special operation
operation ukraine
ukraine russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato zionist
zionist systematic
systematic erasure
erasure palestinians
palestinians us
us institutionalised
institutionalised racism
racism target
target palestinians
palestinians empower
empower doesnt
doesnt exist
exist vacuum
vacuum military
military economic
economic diplomatic
diplomatic collaboration
collaboration must
must disabled
disabled case
case said
said today
today fuck
fuck rest
rest fascist
fascist fansslava
fansslava ukraini
ukraini defense
defense secretary
secretary say
say made
made serious
serious strategic
strategic mistake
mistake invasion
invasion logistical
logistical problem
problem see
see evidence
evidence effective
effective use
use tactical
tactical intelligence
intelligence integration
integration aviation
aviation capability
capability ground
ground maneuvering
maneuvering lloyd
lloyd austin
austin noted
noted national
national protest
protest protest
protest humanity
humanity march
march ally
ally please
please join
join let
let stand
stand solidarity
solidarity get
get national
national attention
attention need
need help
help never
never forget
forget republicans
republicans chance
chance impeach
impeach convict
convict donald
donald trump
trump blackmailing
blackmailing volodymyr
volodymyr zelensky
zelensky gop
gop house
house member
member gop
gop senators
senators refused
refused mattered
mattered abandoned
abandoned constitution
constitution today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod make
make right
right decision
decision join
join nation
nation condemning
condemning invasion
invasion ukraine's
ukraine's negotiator
negotiator mykhailo
mykhailo podolyak
podolyak said
said twitter
twitter saturday
saturday reuters
reuters exclusivebombshellcuments
exclusivebombshellcuments released
released ukrainian
ukrainian general
general prosecutors
prosecutors office
office reveal
reveal millions
millions funneled
funneled hunter
hunter biden
biden john
john kerry
kerry familyare
familyare awake
awake yet
yet russia
russia headed
headed strategic
strategic defeat
defeat ukraine
ukraine supported
supported viewpoint
viewpoint even
even colleagues
colleagues killed
killed via
via terror
terror worst
worst form
form moment
moment occupation
occupation force
force shot
shot palestinian
palestinian youth
youth occupied
occupied jerusalem
jerusalem hague
hague international
international court
court justice
justice ordered
ordered russia
russia halt
halt invasion
invasion immediately
immediately done
done stupid
stupid tweet
tweet tweet
tweet stupid
stupid done
done hero
hero world
world democracy
democracy hero
hero bravest
bravest politician
politician world
world currently
currently number
number one
one target
target war
war criminal
criminal terrorist
terrorist putin
putin another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better whove
whove supported
supported aided
aided abetted
abetted profited
profited authoritarian
authoritarian thug
thug putin
putin warmongerer
warmongerer waging
waging th
th war
war chechen
chechen need
need exposed
exposed shamed
shamed held
held accountable
accountable blood
blood innocent
innocent hand
hand ruin
ruin city
city south
south brilliant
brilliant well
well done
done everyone
everyone taking
taking part
part new
new mural
mural prague
prague dedicated
dedicated child
child rock-star
rock-star many
many fan
fan appeal
appeal russian
russian hospital
hospital doctor
doctor try
try save
save life
life kid
kid hear
hear busy
busy stocking
stocking sugar
sugar another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better putin
putin putler
putler american
american volunteer
volunteer funny
funny ukrainian
ukrainian soldier
soldier teach
teach ukrainian
ukrainian 
 stinger
stinger man-portable
man-portable air-defense
air-defense system
system proving
proving worth
worth anyone
anyone spare
spare mig
mig jet
jet please
please send
send ukraine's
ukraine's got
got pilot
pilot waiting
waiting russia
russia still
still wrestling
wrestling capture
capture kyiv
kyiv subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid let
let invaded
invaded diplomacy
diplomacy position
position impose
impose condition
condition including
including neutrality
neutrality membership
membership eu
eu account
account withheld
withheld india
india response
response legal
legal demand
demand learn
learn interview
interview discus
discus speech
speech congress
congress discus
discus six
six theme
theme speech
speech effort
effort build
build sense
sense identity
identity common
common cause
cause us
us success
success limitation
limitation address
address rest
rest world
world leader
leader trying
trying negotiate
negotiate terrorist
terrorist million
million thats
thats number
number child
child fled
fled refugee
refugee since
since february
february countless
countless others
others displaced
displaced violence
violence inside
inside country
country call
call strengthened
strengthened measure
measure protect
protect sadly
sadly skin
skin color
color war
war victim
victim seems
seems biggest
biggest indicator
indicator solidarity
solidarity hushed
hushed west
west showing
showing solidarity
solidarity another
another intercept
intercept taken
taken city
city nah
nah commander
commander refused
refused send
send slaughter
slaughter loot
loot around
around allowed
allowed sadly
sadly skin
skin color
color war
war victim
victim seems
seems biggest
biggest indicator
indicator solidarity
solidarity hushed
hushed west
west showing
showing solidarity
solidarity today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod new
new mural
mural prague
prague dedicated
dedicated russia
russia fifth-largest
fifth-largest stockpile
stockpile gold
gold world
world worth
worth billion
billion one
one want
want buy
buy source
source business
business insider
insider subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid zionist
zionist systematic
systematic erasure
erasure palestinians
palestinians us
us institutionalised
institutionalised racism
racism target
target palestinians
palestinians empower
empower doesnt
doesnt exist
exist vacuum
vacuum military
military economic
economic diplomatic
diplomatic collaboration
collaboration must
must disabled
disabled friends
friends need
need help
help ed
ed stelmach
stelmach could
could sit
sit watch
watch ukrainians
ukrainians suffer
suffer amazing
amazing corporate
corporate support
support shipping
shipping humanitarian
humanitarian aid
aid medical
medical firefighting
firefighting equipment
equipment need
need donation
donation good
good please
please contribute
contribute retweet
retweet donations
donations please
please please
please donate
donate reputable
reputable shelter
shelter organisation
organisation scam
scam sadly
sadly round
round continue
continue work
work uanimals
uanimals reached
reached many
many animal
animal ground
ground tailed
tailed hostage
hostage supplied
supplied much
much aid
aid invasion
invasion overshadowed
overshadowed atrocity
atrocity man-made
man-made famine
famine fallen
fallen victim
victim ic
ic must
must speak
speak stand
stand victim
victim war
war anywhere
anywhere russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head project
project institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko latvian
latvian doctors-microsurgery
doctors-microsurgery team
team currently
currently working
working treating
treating wounded
wounded patient
patient grateful
grateful selfless
selfless dedication
dedication sense
sense duty
duty humanity
humanity proud
proud man
man instrumental
instrumental safe
safe evacuation
evacuation thousand
thousand indians
indians war-zone
war-zone ambassador
ambassador partha
partha sathpathy
sathpathy return
return home
home clicked
clicked folding
folding hand
hand incoming
incoming ukrainian
ukrainian refugee
refugee today
today mostly
mostly lviv
lviv yesterday's
yesterday's russian
russian missile
missile attack
attack city
city volunteers
volunteers trying
trying cheer
cheer child
child best
best way
way considering
considering circumstance
circumstance yet
yet another
another display
display western
western hypocrisy
hypocrisy cheering
cheering boycott
boycott war
war condemns
condemns accuses
accuses anti-semitic
anti-semitic boycott
boycott campaign
campaign regarding
regarding brutal
brutal apartheid
apartheid imposed
imposed palestinians
palestinians barnardos
barnardos help
help child
child family
family fled
fled conflict
conflict need
need support
support speak
speak one
one friendly
friendly advisor
advisor english
english ukrainian
ukrainian russian
russian calling
calling free
free visit
visit stroller
stroller one
one every
every child
child killed
killed russias
russias invasion
invasion met
met ukrainian
ukrainian civil
civil society
society rep
rep heard
heard testimony
testimony information
information grave
grave humanitarian
humanitarian human
human right
right situation
situation due
due russian
russian invasion
invasion cessation
cessation hostility
hostility safe
safe passage
passage civilian
civilian aid
aid accountability
accountability urgently
urgently needed
needed shelling
shelling keep
keep cowardly
cowardly attacking
attacking civilian
civilian infrastructurehelp
infrastructurehelp stop
stop committing
committing someone
someone working
working live
live aid
aid concert
concert aid
aid credit
credit ad
ad huge
huge respect
respect also
also courage
courage vulnerability
vulnerability cannot
cannot go
go mariupol
mariupol airport
airport shut
shut many
many year
year used
used torture
torture centre
centre cleared
cleared troop
troop control
control force
force report
report survivor
survivor prepared
prepared talk
talk ordeal
ordeal got
got money
money war
war can't
can't feed
feed poor
poor tupac
tupac shakurremember
shakurremember congress
congress took
took month
month send
send folk
folk measly
measly shut
shut business
business stopped
stopped people
people working
working took
took week
week send
send billion
billion war
war germanys
germanys stop
stop production
production thank
thank brushing
brushing detail
detail english
english civil
civil war
war many
many parallel
parallel many
many interesting
interesting lesson
lesson considerespecially
considerespecially second
second civil
civil war
war must
must difficult
difficult minister
minister decide
decide proceed
proceed wonder
wonder turn
turn history
history french
french company
company deciding
deciding leave
leave russian
russian market
market place
place profit
profit solidarity
solidarity victim
victim war
war large
large contingent
contingent nazis
nazis since
since wwii
wwii us
us protected
protected leader
leader war
war neo-nazis
neo-nazis bred
bred real
real nazis
nazis harming
harming ukrainian
ukrainian people
people since
since done
done yr
yr hero
hero tune
tune noise
noise russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head theproject
theproject institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko two
two war
war support--you've
support--you've lost
lost plot
plot world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished video
video kherson
kherson resident
resident say
say column
column russian
russian assassin
assassin quickly
quickly fleeing
fleeing city
city run
run forrest
forrest run
run boris
boris vaccinating
vaccinating million
million freemichael
freemichael gove
gove levelling
levelling upkevin
upkevin foster
foster offering
offering ukrainians
ukrainians fruit
fruit picking
picking jobsmatt
jobsmatt hancock
hancock opening
opening home
home refugeesnow
refugeesnow david
david cameron
cameron driving
driving poland
poland valuable
valuable supplieslet
supplieslet world
world know
know know
know conservatives
conservatives care
care international
international community
community always
always hear
hear day
day minister
minister butcher
butcher balkans
balkans serbian
serbian president
president vucic
vucic defends
defends war
war crime
crime milosevic
milosevic regime
regime serbian
serbian support
support genocide
genocide oppression
oppression extends
extends outside
outside bound
bound serbia
serbia morphing
morphing sympathy
sympathy russian
russian aggression
aggression many
many day
day shelling
shelling russian
russian troop
troop residential
residential area
area military
military facility
facility shelling
shelling keep
keep cowardly
cowardly attacking
attacking civilian
civilian infrastructurehelp
infrastructurehelp stop
stop committing
committing two
two largest
largest oilfield
oilfield service
service company
company world
world schlumberger
schlumberger pulling
pulling russia
russia associated
associated press
press zionist
zionist systematic
systematic erasure
erasure palestinians
palestinians us
us institutionalised
institutionalised racism
racism target
target palestinians
palestinians empower
empower doesnt
doesnt exist
exist vacuum
vacuum military
military economic
economic diplomatic
diplomatic collaboration
collaboration must
must disabled
disabled russian
russian k
k strela
strela short-range
short-range surface-to-air
surface-to-air missile
missile system
system captured
captured ukrainian
ukrainian force
force today
today family
family rescued
rescued hour
hour emergency
emergency rescue
rescue support
support team
team contact
contact email
email ukrainerescuecomphone
ukrainerescuecomphone call
call text
text nazi
nazi charge
charge admired
admired russian
russian roadblock
roadblock attacked
attacked ukrainian
ukrainian force
force result
result p
p shturm-s
shturm-s atgm
atgm carrier
carrier mt-lb
mt-lb multi-purpose
multi-purpose tracked
tracked vehicle
vehicle damaged
damaged destroyed
destroyed conflict
conflict continues
continues impact
impact supporting
supporting humanitarian
humanitarian response
response outside
outside ukraine
ukraine right
right data
data product
product check
check crisis
crisis page
page latest
latest output
output russian
russian fascist
fascist invader
invader weaponising
weaponising food
food un
un warns
warns blockade
blockade grain
grain export
export may
may trigger
trigger global
global famine
famine russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato exclusivebombshellcuments
exclusivebombshellcuments released
released ukrainian
ukrainian general
general prosecutors
prosecutors office
office reveal
reveal millions
millions funneled
funneled hunter
hunter biden
biden john
john kerry
kerry familyare
familyare awake
awake yet
yet alaska
alaska student
student must
must learn
learn read
read nine
nine nine
nine year
year via
via subscribers
