Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
self-determination,"('self-government', 'self-determination', 'self-rule')",Polysemy,government of a political unit by its own people,self-government.n.01
starting,"('start', 'protrude', 'pop', 'pop_out', 'bulge', 'bulge_out', 'bug_out', 'come_out')",Polysemy,bulge outward,start.v.14
drive,"('drive',)",Not a Polysemy,cause to function by supplying the force or power for or by controlling,drive.v.20
grim,"('dour', 'forbidding', 'grim')",Polysemy,harshly uninviting or formidable in manner or appearance; ; ; ; - J.M.Barrie,dour.s.02
times,"('time',)",Not a Polysemy,a suitable moment,time.n.04
wind,"('weave', 'wind', 'thread', 'meander', 'wander')",Polysemy,"to move or cause to move in a sinuous, spiral, or circular course",weave.v.04
cow,"('cow', 'moo-cow')",Polysemy,female of domestic cattle:,cow.n.01
lennon,"('Lennon', 'John_Lennon')",Polysemy,English rock star and guitarist and songwriter who with Paul McCartney wrote most of the music for the Beatles (1940-1980),lennon.n.01
trade,"('trade',)",Not a Polysemy,the commercial exchange (buying and selling on domestic or international markets) of goods and services,trade.n.01
checked,"('check',)",Not a Polysemy,write out a check on a bank account,check.v.20
call,"('call',)",Not a Polysemy,(sports) the decision made by an umpire or referee,call.n.12
turn,"('turn',)",Not a Polysemy,cause to move along an axis or into a new direction,turn.v.19
lift,"('elevator', 'lift')",Polysemy,lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building,elevator.n.01
far,"('far',)",Not a Polysemy,located at a great distance in time or space or degree,far.a.01
specialized,"('specialize', 'specialise')",Polysemy,suit to a special purpose,specialize.v.03
grinder,"('mill', 'grinder', 'milling_machinery')",Polysemy,machinery that processes materials by grinding or crushing,mill.n.04
several,"('respective', 'several', 'various')",Polysemy,considered individually,respective.s.01
stiff,"('firm', 'steadfast', 'steady', 'stiff', 'unbendable', 'unfaltering', 'unshakable', 'unwavering')",Polysemy,marked by firm determination or resolution; not shakable,firm.s.01
resourceful,"('resourceful',)",Not a Polysemy,having inner resources; adroit or imaginative,resourceful.s.01
stain,"('tarnish', 'stain', 'maculate', 'sully', 'defile')",Polysemy,"make dirty or spotty, as by exposure to air; also used metaphorically",tarnish.v.01
went,"('go',)",Not a Polysemy,"pass, fare, or elapse; of a certain state of affairs or action",go.v.16
closing,"('close',)",Not a Polysemy,draw near,close.v.12
destroys,"('destroy', 'ruin')",Polysemy,destroy completely; damage irreparably,destroy.v.02
neighborhood,"('region', 'neighborhood')",Polysemy,the approximate amount of something (usually used prepositionally as in `in the region of'),region.n.04
pounding,"('beat', 'pound', 'thump')",Polysemy,move rhythmically,beat.v.04
summit,"('peak', 'crown', 'crest', 'top', 'tip', 'summit')",Polysemy,the top or extreme point of something (usually a mountain or hill),peak.n.04
official,"('official', 'functionary')",Polysemy,a worker who holds or is invested with an office,official.n.01
getting,"('experience', 'receive', 'have', 'get')",Polysemy,go through (mental or physical states or experiences),experience.v.03
entering,"('enroll', 'inscribe', 'enter', 'enrol', 'recruit')",Polysemy,register formally as a participant or member,enroll.v.01
offering,"('offer',)",Not a Polysemy,produce or introduce on the stage,offer.v.08
paris,"('Paris', 'City_of_Light', 'French_capital', 'capital_of_France')",Polysemy,the capital and largest city of France; and international center of culture and commerce,paris.n.01
using,"('use', 'habituate')",Polysemy,take or consume (regularly or habitually),use.v.02
fall,"('fall',)",Not a Polysemy,go as if by falling,fall.v.31
brains,"('brain',)",Not a Polysemy,the brain of certain animals used as meat,brain.n.05
wind,"('wind',)",Not a Polysemy,breath,wind.n.03
sympathetic,"('sympathetic', 'appealing', 'likeable', 'likable')",Polysemy,(of characters in literature or drama) evoking empathic or sympathetic feelings,sympathetic.a.04
ball,"('ball', 'clod', 'glob', 'lump', 'clump', 'chunk')",Polysemy,a compact mass,ball.n.08
operations,"('operation', 'procedure')",Polysemy,a process or series of acts especially of a practical or mechanical nature involved in a particular form of work,operation.n.07
tip,"('tip', 'lead', 'steer', 'confidential_information', 'wind', 'hint')",Polysemy,an indication of potential opportunity,tip.n.03
gum,"('gum',)",Not a Polysemy,any of various substances (soluble in water) that exude from certain plants; they are gelatinous when moist but harden on drying,gum.n.03
shine,"('glitter', 'glisten', 'glint', 'gleam', 'shine')",Polysemy,"be shiny, as if wet",glitter.v.01
sour,"('sour', 'acidify', 'acidulate', 'acetify')",Polysemy,make sour or more sour,sour.v.02
advanced,"('progress', 'come_on', 'come_along', 'advance', 'get_on', 'get_along', 'shape_up')",Polysemy,develop in a positive way,progress.v.01
board,"('board',)",Not a Polysemy,a committee having supervisory powers,board.n.01
gathering,"('gain', 'gather')",Polysemy,increase or develop,gain.v.07
act,"('act',)",Not a Polysemy,discharge one's duties,act.v.04
prepare,"('fix', 'prepare', 'set_up', 'ready', 'gear_up', 'set')",Polysemy,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",fix.v.12
kept,"('unbroken', 'kept')",Polysemy,(especially of promises or contracts) not violated or disregarded,unbroken.a.04
whistle,"('whistle',)",Not a Polysemy,acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound,whistle.n.04
order,"('rate', 'rank', 'range', 'order', 'grade', 'place')",Polysemy,assign a rank or rating to,rate.v.01
rifle,"('rifle', 'go')",Polysemy,go through in search of something; search through someone's belongings in an unauthorized way,rifle.v.02
blown,"('blow',)",Not a Polysemy,spout moist air from the blowhole,blow.v.15
outfit,"('equip', 'fit', 'fit_out', 'outfit')",Polysemy,provide with (something) usually for a specific purpose,equip.v.01
north,"('north',)",Not a Polysemy,the direction corresponding to the northward cardinal compass point,north.n.05
massacre,"('massacre', 'slaughter', 'mow_down')",Polysemy,kill a large number of people indiscriminately,massacre.v.01
freshly,"('impertinently', 'saucily', 'pertly', 'freshly', 'impudently')",Polysemy,in an impudent or impertinent manner,impertinently.r.01
pleased,"('please',)",Not a Polysemy,be the will of or have the will (to),please.v.02
ki,"('qi', 'chi', ""ch'i"", 'ki')",Polysemy,the circulating life energy that in Chinese philosophy is thought to be inherent in all things; in traditional Chinese medicine the balance of negative and positive forms in the body is believed to be essential for good health,qi.n.01
easy,"('easily', 'easy')",Polysemy,with ease (`easy' is sometimes used informally for `easily'),easily.r.01
mortal,"('deadly', 'deathly', 'mortal')",Polysemy,causing or capable of causing death,deadly.s.01
pat,"('chuck', 'pat')",Polysemy,"pat or squeeze fondly or playfully, especially under the chin",chuck.v.03
start,"('start',)",Not a Polysemy,play in the starting lineup,start.v.11
heat,"('heat',)",Not a Polysemy,provide with heat,heat.v.02
snow,"('coke', 'blow', 'nose_candy', 'snow', 'C')",Polysemy,street names for cocaine,coke.n.03
rush,"('rush', 'hasten', 'hurry', 'look_sharp', 'festinate')",Polysemy,act or move at high speed,rush.v.04
generals,"('general',)",Not a Polysemy,command as a general,general.v.01
learn,"('learn', 'hear', 'get_word', 'get_wind', 'pick_up', 'find_out', 'get_a_line', 'discover', 'see')",Polysemy,"get to know or become aware of, usually accidentally",learn.v.02
slaughtered,"('butcher', 'slaughter')",Polysemy,kill (animals) usually for food consumption,butcher.v.01
recorded,"('recorded',)",Not a Polysemy,set down or registered in a permanent form especially on film or tape for reproduction,recorded.a.01
fluid,"('fluid', 'mobile')",Polysemy,affording change (especially in social status),fluid.s.05
follow,"('trace', 'follow')",Polysemy,"follow, discover, or ascertain the course of development of something",trace.v.01
indeed,"('indeed',)",Not a Polysemy,(used as an interjection) an expression of surprise or skepticism or irony etc.,indeed.r.02
rises,"('wax', 'mount', 'climb', 'rise')",Polysemy,go up or advance,wax.v.02
placed,"('place',)",Not a Polysemy,finish second or better in a horse or dog race,place.v.15
launcher,"('catapult', 'launcher')",Polysemy,a device that launches aircraft from a warship,catapult.n.02
walking,"('walk',)",Not a Polysemy,make walk,walk.v.09
platform,"('platform',)",Not a Polysemy,the combination of a particular computer and a particular operating system,platform.n.03
ross,"('Ross', 'Betsy_Ross', 'Betsy_Griscom_Ross')",Polysemy,American seamstress said to have made the first American flag at the request of George Washington (1752-1836),ross.n.05
strike,"('strike',)",Not a Polysemy,pierce with force,strike.v.20
inspiration,"('inspiration', 'stirring')",Polysemy,arousing to a particular emotion or action,inspiration.n.05
represent,"('represent',)",Not a Polysemy,be representative or typical for,represent.v.03
wan,"('pale', 'pallid', 'wan')",Polysemy,abnormally deficient in color as suggesting physical or emotional distress,pale.s.04
remark,"('remark', 'comment', 'input')",Polysemy,a statement that expresses a personal opinion or belief or adds information,remark.n.01
communicate,"('communicate',)",Not a Polysemy,join or connect,communicate.v.04
landed,"('landed',)",Not a Polysemy,owning or consisting of land or real estate,landed.a.01
cut,"('cut',)",Not a Polysemy,perform or carry out,cut.v.23
frame,"('frame_of_reference', 'frame')",Polysemy,a system of assumptions and standards that sanction behavior and give it meaning,frame_of_reference.n.02
turning,"('turn', 'grow')",Polysemy,"pass into a condition gradually, take on a specific property or attribute; become",turn.v.07
strength,"('potency', 'effectiveness', 'strength')",Polysemy,capacity to produce strong physiological or chemical effects,potency.n.02
americas,"('United_States', 'United_States_of_America', 'America', 'the_States', 'US', 'U.S.', 'USA', 'U.S.A.')",Polysemy,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,united_states.n.01
majority,"('majority', 'bulk')",Polysemy,the property resulting from being or relating to the greater in number of two parts; the main part,majority.n.01
tried,"('tested', 'time-tested', 'tried', 'tried_and_true')",Polysemy,tested and proved to be reliable,tested.s.02
felt,"('find', 'feel')",Polysemy,"come to believe on the basis of emotion, intuitions, or indefinite grounds",find.v.05
christ,"('messiah', 'christ')",Polysemy,any expected deliverer,messiah.n.01
soothing,"('comfort', 'soothe', 'console', 'solace')",Polysemy,give moral or emotional strength to,comfort.v.01
reports,"('report', 'news_report', 'story', 'account', 'write_up')",Polysemy,a short account of the news,report.n.03
encounter,"('meet', 'run_into', 'encounter', 'run_across', 'come_across', 'see')",Polysemy,come together,meet.v.01
friendliest,"('friendly', 'favorable', 'well-disposed')",Polysemy,inclined to help or support; not antagonistic or hostile,friendly.s.02
record,"('record',)",Not a Polysemy,the number of wins versus losses and ties a team has had,record.n.03
national,"('national',)",Not a Polysemy,characteristic of or peculiar to the people of a nation,national.a.06
charge,"('charge', 'accuse')",Polysemy,"blame for, make a claim of wrongdoing or misbehavior against",charge.v.02
dispute,"('quarrel', 'dispute', 'scrap', 'argufy', 'altercate')",Polysemy,have a disagreement over something,quarrel.v.01
sharing,"('communion', 'sharing')",Polysemy,sharing thoughts and feelings,communion.n.02
delicious,"('delectable', 'delicious', 'luscious', 'pleasant-tasting', 'scrumptious', 'toothsome', 'yummy')",Polysemy,extremely pleasing to the sense of taste,delectable.s.01
broadcast,"('broadcast', 'program', 'programme')",Polysemy,a radio or television show,broadcast.n.02
hours,"('hour', 'hr', '60_minutes')",Polysemy,a period of time equal to 1/24th of a day,hour.n.01
age,"('senesce', 'age', 'get_on', 'mature', 'maturate')",Polysemy,grow old or older,senesce.v.01
blow,"('blow', 'puff')",Polysemy,forceful exhalation through the nose or mouth,blow.n.07
imbecilic,"('imbecile', 'imbecilic', 'idiotic')",Polysemy,having a mental age of three to seven years,imbecile.s.01
calls,"('call',)",Not a Polysemy,challenge (somebody) to make good on a statement; charge with or censure for an offense,call.v.20
army,"('United_States_Army', 'US_Army', 'U._S._Army', 'Army', 'USA')",Polysemy,the army of the United States of America; the agency that organizes and trains soldiers for land warfare,united_states_army.n.01
shell,"('carapace', 'shell', 'cuticle', 'shield')",Polysemy,hard outer covering or case of certain organisms such as arthropods and turtles,carapace.n.01
milk,"('milk',)",Not a Polysemy,produced by mammary glands of female mammals for feeding their young,milk.n.02
westerners,"('westerner',)",Not a Polysemy,an inhabitant of a western area; especially of the U.S.,westerner.n.01
held,"('defend', 'guard', 'hold')",Polysemy,protect against a challenge or attack,defend.v.03
key,"('key',)",Not a Polysemy,provide with a key,key.v.02
stain,"('blot', 'smear', 'smirch', 'spot', 'stain')",Polysemy,an act that brings discredit to the person who does it,blot.n.02
leave,"('leave', 'depart', 'pull_up_stakes')",Polysemy,remove oneself from an association with or participation in,leave.v.08
hold,"('hold', 'bear', 'carry', 'contain')",Polysemy,contain or hold; have within,hold.v.11
collection,"('collection', 'collecting', 'assembling', 'aggregation')",Polysemy,the act of gathering something together,collection.n.04
intimidation,"('bullying', 'intimidation')",Polysemy,the act of intimidating a weaker person to make them do something,bullying.n.01
cube,"('cube', 'dice')",Polysemy,cut into cubes,cube.v.02
devoid,"('barren', 'destitute', 'devoid', 'free', 'innocent')",Polysemy,completely wanting or lacking,barren.s.03
click,"('click', 'get_through', 'dawn', 'come_home', 'get_across', 'sink_in', 'penetrate', 'fall_into_place')",Polysemy,become clear or enter one's consciousness or emotions,click.v.07
shocking,"('shock', 'floor', 'ball_over', 'blow_out_of_the_water', 'take_aback')",Polysemy,surprise greatly; knock someone's socks off,shock.v.01
staying,"('stay',)",Not a Polysemy,fasten with stays,stay.v.10
temporary,"('irregular', 'temporary')",Polysemy,lacking continuity or regularity,irregular.s.07
try,"('try', 'strain', 'stress')",Polysemy,test the limits of,try.v.07
broke,"('break_in', 'break')",Polysemy,"make submissive, obedient, or useful",break_in.v.06
give,"('hold', 'throw', 'have', 'make', 'give')",Polysemy,organize or be responsible for,hold.v.03
balkans,"('Balkans', 'Balkan_Mountains', 'Balkan_Mountain_Range')",Polysemy,the major mountain range of Bulgaria and the Balkan Peninsula,balkans.n.01
turning,"('turn',)",Not a Polysemy,cause to move around or rotate,turn.v.04
come,"('come',)",Not a Polysemy,experience orgasm,come.v.20
hard,"('hard',)",Not a Polysemy,earnestly or intently,hard.r.03
centers,"('center', 'centre')",Polysemy,a building dedicated to a particular activity,center.n.03
lives,"('life',)",Not a Polysemy,the course of existence of an individual; the actions and events that occur in living,life.n.03
bases,"('basis', 'base')",Polysemy,the most important or necessary part of something,basis.n.03
operating,"('operate_on', 'operate')",Polysemy,perform surgery on,operate_on.v.01
broken,"('crack', 'check', 'break')",Polysemy,become fractured; break or crack on the surface only,crack.v.01
sing,"('sing',)",Not a Polysemy,deliver by singing,sing.v.01
related,"('related', 'related_to')",Polysemy,being connected either logically or causally or by shared characteristics,related.a.01
held,"('hold',)",Not a Polysemy,remain committed to,hold.v.23
universe,"('universe', 'existence', 'creation', 'world', 'cosmos', 'macrocosm')",Polysemy,everything that exists anywhere,universe.n.01
common,"('common', 'mutual')",Polysemy,common to or shared by two or more parties,common.s.03
weeping,"('crying', 'weeping', 'tears')",Polysemy,the process of shedding tears (usually accompanied by sobs or other inarticulate sounds),crying.n.01
forcing,"('coerce', 'hale', 'squeeze', 'pressure', 'force')",Polysemy,"to cause to do through pressure or necessity, by physical, moral or intellectual means :",coerce.v.01
advance,"('improvement', 'betterment', 'advance')",Polysemy,a change for the better; progress in development,improvement.n.01
stay,"('bide', 'abide', 'stay')",Polysemy,dwell,bide.v.01
point,"('degree', 'level', 'stage', 'point')",Polysemy,a specific identifiable position in a continuum or series or especially in a process,degree.n.02
hold,"('hold',)",Not a Polysemy,have as a major characteristic,hold.v.17
course,"('course', 'line')",Polysemy,a connected series of events or actions or developments,course.n.02
train,"('coach', 'train')",Polysemy,"teach and supervise (someone); act as a trainer or coach (to), as in sports",coach.v.01
grasp,"('compass', 'range', 'reach', 'grasp')",Polysemy,the limit of capability,compass.n.03
chewing,"('chew', 'chewing', 'mastication', 'manduction')",Polysemy,biting and grinding food in your mouth so it becomes soft enough to swallow,chew.n.02
neoliberal,"('neoliberal',)",Not a Polysemy,a liberal who subscribes to neoliberalism,neoliberal.n.01
liquid,"('liquid',)",Not a Polysemy,a frictionless continuant that is not a nasal consonant (especially `l' and `r'),liquid.n.04
word,"('news', 'intelligence', 'tidings', 'word')",Polysemy,information about recent and important events,news.n.01
move,"('go', 'proceed', 'move')",Polysemy,follow a procedure or take a course,go.v.02
free,"('detached', 'free')",Polysemy,not fixed in position,detached.s.06
fall,"('fall',)",Not a Polysemy,be captured,fall.v.09
settled,"('colonized', 'colonised', 'settled')",Polysemy,inhabited by colonists,colonized.s.01
releasing,"('free', 'release')",Polysemy,make (information) available for publication,free.v.05
work,"('make', 'work')",Polysemy,proceed along a path,make.v.36
compared,"('compare',)",Not a Polysemy,be comparable,compare.v.02
collecting,"('collect', 'pull_in')",Polysemy,get or bring together,collect.v.04
greatest,"('capital', 'great', 'majuscule')",Polysemy,uppercase,capital.s.03
overhead,"('overhead',)",Not a Polysemy,(nautical) the top surface of an enclosed space on a ship,overhead.n.05
settle,"('settle',)",Not a Polysemy,cause to become clear by forming a sediment (of liquids),settle.v.16
seeds,"('seed',)",Not a Polysemy,go to seed; shed seeds,seed.v.01
textbook,"('textbook', 'text', 'text_edition', 'schoolbook', 'school_text')",Polysemy,a book prepared for use in schools or colleges,textbook.n.01
commander,"('air_force_officer', 'commander')",Polysemy,an officer in the airforce,air_force_officer.n.01
side,"('side',)",Not a Polysemy,located on a side,side.a.01
ask,"('ask',)",Not a Polysemy,make a request or demand for something to somebody,ask.v.02
nowadays,"('present', 'nowadays')",Polysemy,the period of time that is happening now; any continuous stretch of time including the moment of speech,present.n.01
james,"('James', 'James_II')",Polysemy,the last Stuart to be king of England and Ireland and Scotland; overthrown in 1688 (1633-1701),james.n.02
reach,"('reach', 'hit', 'attain')",Polysemy,"reach a point in time, or a certain state or level",reach.v.02
race,"('race',)",Not a Polysemy,any competition,race.n.01
combined,"('combine',)",Not a Polysemy,join for a common purpose or in a common action,combine.v.05
setting,"('set',)",Not a Polysemy,apply or start,set.v.13
funky,"('funky', 'low-down')",Polysemy,(of jazz) having the soulful feeling of early blues,funky.s.02
inspiration,"('inspiration', 'brainchild')",Polysemy,a product of your creative thinking and work,inspiration.n.02
theorist,"('theorist', 'theoretician', 'theorizer', 'theoriser', 'idealogue')",Polysemy,someone who theorizes (especially in science or art),theorist.n.01
flux,"('blend', 'flux', 'mix', 'conflate', 'commingle', 'immix', 'fuse', 'coalesce', 'meld', 'combine', 'merge')",Polysemy,mix together different elements,blend.v.03
pickup,"('pickup',)",Not a Polysemy,a casual acquaintance; often made in hope of sexual relationships,pickup.n.04
pumping,"('pump',)",Not a Polysemy,move up and down,pump.v.06
enjoy,"('love', 'enjoy')",Polysemy,get pleasure from,love.v.02
ticking,"('tick', 'ticktock', 'ticktack', 'beat')",Polysemy,make a sound like a clock or a timer,tick.v.02
retreat,"('retreat',)",Not a Polysemy,"move away, as for privacy",retreat.v.02
go,"('go',)",Not a Polysemy,be awarded; be allotted,go.v.05
picked,"('pluck', 'plunk', 'pick')",Polysemy,pull lightly but sharply with a plucking motion,pluck.v.04
honor,"('respect', 'honor', 'honour', 'abide_by', 'observe')",Polysemy,show respect towards,respect.v.02
eliminated,"('extinguish', 'eliminate', 'get_rid_of', 'do_away_with')",Polysemy,"terminate, end, or take out",extinguish.v.04
transport,"('transport', 'send', 'ship')",Polysemy,transport commercially,transport.v.04
reluctance,"('reluctance',)",Not a Polysemy,(physics) opposition to magnetic flux (analogous to electric resistance),reluctance.n.01
isolated,"('disjunct', 'isolated')",Polysemy,marked by separation of or from usually contiguous elements; - Scientific Monthly,disjunct.s.03
intermission,"('pause', 'intermission', 'break', 'interruption', 'suspension')",Polysemy,a time interval during which there is a temporary cessation of something,pause.n.01
geting,"('catch', 'get')",Polysemy,suffer from the receipt of,catch.v.22
hopeful,"('hopeful',)",Not a Polysemy,having or manifesting hope,hopeful.a.01
precisely,"('precisely', 'incisively', 'exactly')",Polysemy,in a precise manner,precisely.r.02
hurt,"('hurt', 'wound', 'injure', 'bruise', 'offend', 'spite')",Polysemy,hurt the feelings of,hurt.v.05
distributed,"('distributed',)",Not a Polysemy,spread out or scattered about or divided up,distributed.a.01
bank,"('bank',)",Not a Polysemy,tip laterally,bank.v.01
gap,"('gap', 'spread')",Polysemy,a conspicuous disparity or difference as between two figures,gap.n.01
misery,"('misery',)",Not a Polysemy,a feeling of intense unhappiness,misery.n.02
lift,"('lift',)",Not a Polysemy,make audible,lift.v.05
marking,"('marking', 'grading', 'scoring')",Polysemy,evaluation of performance by assigning a grade or score,marking.n.03
kidnapped,"('kidnap', 'nobble', 'abduct', 'snatch')",Polysemy,take away to an undisclosed location against their will and usually in order to extract a ransom,kidnap.v.01
heading,"('head',)",Not a Polysemy,take its rise,head.v.06
inspire,"('revolutionize', 'revolutionise', 'inspire')",Polysemy,fill with revolutionary ideas,revolutionize.v.03
settle,"('settle',)",Not a Polysemy,form a community,settle.v.21
striking,"('mint', 'coin', 'strike')",Polysemy,"form by stamping, punching, or printing",mint.v.01
collaboration,"('collaboration', 'collaborationism', 'quislingism')",Polysemy,act of cooperating traitorously with an enemy that is occupying your country,collaboration.n.02
lights,"('luminosity', 'brightness', 'brightness_level', 'luminance', 'luminousness', 'light')",Polysemy,the quality of being luminous; emitting or reflecting light,luminosity.n.01
feel,"('feel',)",Not a Polysemy,manual stimulation of the genital area for sexual pleasure,feel.n.04
double,"('double',)",Not a Polysemy,large enough for two,double.s.06
charged,"('charge', 'saddle', 'burden')",Polysemy,"impose a task upon, assign a responsibility to",charge.v.18
force,"('violence', 'force')",Polysemy,an act of aggression (as one against a person who resists),violence.n.01
playing,"('act', 'play', 'represent')",Polysemy,play a role or part,act.v.03
c,"('coke', 'blow', 'nose_candy', 'snow', 'C')",Polysemy,street names for cocaine,coke.n.03
reduce,"('reduce', 'boil_down', 'concentrate')",Polysemy,cook until very little liquid is left,reduce.v.18
latvia,"('Latvia', 'Republic_of_Latvia')",Polysemy,a republic in northeastern Europe on the eastern coast of the Baltic Sea,latvia.n.01
subtitle,"('subtitle', 'caption')",Polysemy,translation of foreign dialogue of a movie or TV program; usually displayed at the bottom of the screen,subtitle.n.01
troop,"('troop',)",Not a Polysemy,move or march as if in a crowd,troop.v.02
brilliant,"('bright', 'brilliant', 'vivid')",Polysemy,having striking color,bright.s.02
establishing,"('establish', 'base', 'ground', 'found')",Polysemy,use as a basis for; found on,establish.v.08
determined,"('determine', 'shape', 'mold', 'influence', 'regulate')",Polysemy,shape or influence; give direction to,determine.v.02
shouting,"('abuse', 'clapperclaw', 'blackguard', 'shout')",Polysemy,use foul or abusive language towards,abuse.v.03
target,"('target', 'aim', 'place', 'direct', 'point')",Polysemy,intend (something) to move towards a certain goal,target.v.01
set,"('set', 'localize', 'localise', 'place')",Polysemy,locate,set.v.09
planted,"('plant', 'set')",Polysemy,"put or set (seeds, seedlings, or plants) into the ground",plant.v.01
bat,"('bat', 'chiropteran')",Polysemy,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,bat.n.01
places,"('place', 'shoes')",Polysemy,a particular situation,place.n.06
doubled,"('double',)",Not a Polysemy,hit a two-base hit,double.v.02
jacket,"('crown', 'crownwork', 'jacket', 'jacket_crown', 'cap')",Polysemy,(dentistry) dental appliance consisting of an artificial crown for a broken or decayed tooth,crown.n.11
subscription,"('subscription',)",Not a Polysemy,a pledged contribution,subscription.n.03
justify,"('justify', 'warrant')",Polysemy,show to be reasonable or provide adequate ground for,justify.v.01
small,"('modest', 'small')",Polysemy,not large but sufficient in size or amount,modest.s.02
reshape,"('reshape', 'remold')",Polysemy,shape again or shape differently,reshape.v.02
closing,"('conclusion', 'end', 'close', 'closing', 'ending')",Polysemy,the last section of a communication,conclusion.n.08
spectacular,"('spectacular',)",Not a Polysemy,a lavishly produced performance,spectacular.n.01
bulk,"('majority', 'bulk')",Polysemy,the property resulting from being or relating to the greater in number of two parts; the main part,majority.n.01
success,"('success',)",Not a Polysemy,a state of prosperity or fame,success.n.03
stock,"('broth', 'stock')",Polysemy,liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces,broth.n.01
condemning,"('condemnatory', 'condemning')",Polysemy,containing or imposing condemnation or censure,condemnatory.s.01
return,"('return',)",Not a Polysemy,return to a previous position; in mathematics,return.v.14
moved,"('move',)",Not a Polysemy,live one's life in a specified environment,move.v.14
business,"('business', 'stage_business', 'byplay')",Polysemy,incidental activity performed by an actor for dramatic effect,business.n.09
repaired,"('repair', 'mend', 'fix', 'bushel', 'doctor', 'furbish_up', 'restore', 'touch_on')",Polysemy,restore by replacing a part or putting together what is torn or broken,repair.v.01
comment,"('comment', 'commentary')",Polysemy,a written explanation or criticism or illustration that is added to a book or other textual material,comment.n.02
expansion,"('expansion',)",Not a Polysemy,a function expressed as a sum or product of terms,expansion.n.02
accommodate,"('accommodate', 'reconcile', 'conciliate')",Polysemy,make (one thing) compatible with (another),accommodate.v.07
innocent,"('innocent', 'unacquainted')",Polysemy,not knowledgeable about something specified,innocent.s.05
breaking,"('break', 'separate', 'split_up', 'fall_apart', 'come_apart')",Polysemy,become separated into pieces or fragments,break.v.02
carried,"('carry',)",Not a Polysemy,compensate for a weaker partner or member by one's own performance,carry.v.24
game,"('game',)",Not a Polysemy,animal hunted for food or sport,game.n.04
invading,"('incursive', 'invading', 'invasive')",Polysemy,involving invasion or aggressive attack,incursive.s.01
run,"('run', 'go', 'pass', 'lead', 'extend')",Polysemy,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",run.v.03
pounding,"('throb', 'throbbing', 'pounding')",Polysemy,an instance of rapid strong pulsation (of the heart),throb.n.02
extract,"('educe', 'evoke', 'elicit', 'extract', 'draw_out')",Polysemy,deduce (a principle) or construe (a meaning),educe.v.01
recognise,"('acknowledge', 'recognize', 'recognise')",Polysemy,"express obligation, thanks, or gratitude for",acknowledge.v.04
covering,"('embrace', 'encompass', 'comprehend', 'cover')",Polysemy,include in scope; include as part of something broader; have as one's sphere or territory,embrace.v.01
leaning,"('lean',)",Not a Polysemy,cause to lean or incline,lean.v.02
levelling,"('level',)",Not a Polysemy,talk frankly with; lay it on the line,level.v.05
forget,"('forget', 'block', 'blank_out', 'draw_a_blank')",Polysemy,be unable to remember,forget.v.02
drama,"('drama',)",Not a Polysemy,the quality of being arresting or highly emotional,drama.n.04
taking,"('take', 'submit')",Polysemy,"accept or undergo, often unwillingly",take.v.19
party,"('party',)",Not a Polysemy,a group of people gathered together for pleasure,party.n.02
main,"('chief', 'main', 'primary', 'principal', 'master')",Polysemy,most important element,chief.s.01
stinger,"('Stinger',)",Not a Polysemy,a portable low altitude surface-to-air missile system using infrared guidance and an impact fuse; fired from the shoulder,stinger.n.03
accident,"('accident',)",Not a Polysemy,an unfortunate mishap; especially one causing damage or injury,accident.n.01
checked,"('check', 'retard', 'delay')",Polysemy,slow the growth or development of,check.v.07
ambush,"('still-hunt', 'ambush')",Polysemy,hunt (quarry) by stalking and ambushing,still-hunt.v.01
mouse,"('mouse',)",Not a Polysemy,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,mouse.n.01
broke,"('break', 'break_up')",Polysemy,destroy the completeness of a set of related items,break.v.39
concluding,"('conclude',)",Not a Polysemy,reach agreement on,conclude.v.05
erasing,"('erase', 'wipe_out')",Polysemy,remove from memory or existence,erase.v.01
champion,"('champion', 'champ', 'title-holder')",Polysemy,someone who has won first place in a competition,champion.n.01
place,"('place',)",Not a Polysemy,a general vicinity,place.n.04
headed,"('lead', 'head')",Polysemy,travel in front of; go in advance of others,lead.v.04
evacuated,"('evacuate', 'void', 'empty')",Polysemy,excrete or discharge from the body,evacuate.v.05
catch,"('catch', 'pick_up')",Polysemy,"perceive with the senses quickly, suddenly, or momentarily",catch.v.02
fell,"('descend', 'fall', 'go_down', 'come_down')",Polysemy,"move downward and lower, but not necessarily all the way",descend.v.01
conservative,"('conservative',)",Not a Polysemy,having social or political views favoring conservatism,conservative.s.02
form,"('shape', 'form', 'work', 'mold', 'mould', 'forge')",Polysemy,"make something, usually for a specific function",shape.v.02
